Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
El Salvador,SLV,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,33.280372,33.1580423,36.7660513,40.0908064,39.2668625,40.2352499,39.4762309,39.5536527,42.7294968,42.6730068,44.45176,39.4985633,40.8632091,38.0404523,37.2559025,36.4629222,37.1622409,36.12166,37.3123805,37.5165892,36.4858376,34.0875275,35.5083699,36.1837975
El Salvador,SLV,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,65.5818393,65.4443922,60.5493385,63.3848636,64.70213,62.3107418,65.7302391,66.8570269,63.2527135,66.532444,66.2860095,69.2463755,63.8876178,64.1791153,63.4839557,61.6051676,60.1543384,58.7190176,62.2422412,63.3356789,62.1021567,64.1882591,67.2989159,65.9991479
El Salvador,SLV,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,42.0473419,44.8278584,45.285145,48.9116433,48.3868735,45.6991141,45.1010249,45.4092015,45.0488318,43.1965315,45.2329914,43.0148003,45.2381082,46.4711587,43.7543201,44.1267632,42.1456598,42.6501709,44.0743893,45.071142,42.5917078,40.3615724,44.795442,44.6872968
Guatemala,GTM,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,36.4253418,31.6690548,31.4200515,35.8246135,34.9110624,34.7665824,35.460776,38.5427601,37.4860387,35.2860247,36.6847937,32.2842052,33.2766314,30.2285619,29.5008646,30.1698413,29.9629181,28.1792179,27.5352234,25.5915523,23.2024743,23.2277115,25.8540445,28.6604826
Guatemala,GTM,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,50.2131715,49.2101143,50.1020421,49.8931273,50.4675832,50.9033246,51.6469157,52.6221145,52.2082581,52.0388513,53.0292715,53.6642168,53.3610765,53.4202728,54.0924081,54.9087497,53.9242978,54.2170508,54.0326157,56.2626186,56.0882035,60.7606088,62.441645,62.3112389
Guatemala,GTM,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,39.7765583,39.2414173,38.6392974,41.5842466,41.1657718,41.0857386,41.0928415,40.6894949,41.2801954,41.4796434,39.1893325,40.422741,39.1168875,40.4388382,40.6171135,40.3721002,40.596175,40.0835439,39.6565997,40.3404859,40.1745041,39.1149668,39.5678527,40.4032981
Costa Rica,CRI,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,68.5921845,57.143028,57.622973,55.5280511,55.6495671,55.9348432,57.0957135,57.7269153,60.3773986,62.0102548,61.1718727,61.4268371,61.2814766,63.6632595,63.4401897,64.1176151,59.7032522,61.0056411,62.5292538,63.1650182,59.8166838,59.3313828,61.5697363,61.6036307
Costa Rica,CRI,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,77.3356885,81.7856914,76.1467767,77.7265223,80.0237175,80.6908838,79.7853711,75.7933293,78.1993684,79.4541674,76.6845977,77.0920998,77.153462,77.5166561,78.6355453,78.4171178,78.5448694,76.735494,76.5896171,81.6952443,83.2688714,85.4710022,86.1234989,85.9764519
Costa Rica,CRI,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,65.3048916,67.3024742,66.5482031,66.4836079,67.6124235,66.2066705,66.0464956,66.4427462,67.7552551,68.1503268,64.9264179,64.6597621,64.8418686,66.3685302,65.935817,65.8170374,66.277594,65.8900262,66.9617832,67.8366858,67.4710513,68.4538686,68.0333663,67.5792602
Honduras,HND,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,26.7639136,25.385038,26.8279275,27.8174511,28.6746335,28.9166008,29.0903825,28.7789483,27.5983405,27.5740405,28.2246925,25.6796455,25.4661377,28.3087415,31.4353319,29.1456034,28.6864181,28.2290627,26.4344138,28.1678381,25.1758094,26.9776015,25.6028349,22.6603858
Honduras,HND,Political Stability - Governance score (0-100),GOV_WGI_PV.SC,59.6687239,60.1190581,55.9184893,55.3012132,54.9385161,54.7563767,58.0674366,56.661228,57.0346967,55.1222766,56.9223322,57.1544917,56.7397402,54.1154324,54.6121397,53.8554146,50.4087337,51.1298505,51.7655593,54.5120159,52.1201836,57.7266194,59.9027299,56.2064218
Honduras,HND,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,35.9375044,41.5566406,39.888118,42.8684267,44.7406001,41.9251493,42.2492751,40.2762108,40.3345774,39.8686011,39.3458484,36.4162734,35.6509943,36.7478307,37.0515566,36.6842303,38.1934627,38.14234,38.4368702,37.8437257,37.3143589,38.1748769,37.0610655,36.7110928
Colombia,COL,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,35.2865308,43.1304513,44.2469541,46.3593505,45.8270002,43.7548743,42.5056073,43.1971573,41.9935632,40.2418143,43.6714103,39.5560695,38.9235722,40.3387065,41.4314416,40.3758051,39.5383299,41.405998,42.3435637,42.6636046,42.3947687,42.6648919,41.6000941,41.90949
