country_code,country,year,control_corruption,political_stability,rule_of_law
COL,Colombia,2000,35.2865308,29.8839848,38.8722855
COL,Colombia,2002,43.1304513,25.3197419,43.0749396
COL,Colombia,2003,44.2469541,26.0280015,43.8729139
COL,Colombia,2004,46.3593505,31.939793,47.8045975
COL,Colombia,2005,45.8270002,31.7315837,47.3314856
COL,Colombia,2006,43.7548743,34.5742712,47.4503858
COL,Colombia,2007,42.5056073,38.2877257,49.4009901
COL,Colombia,2008,43.1971573,37.8071024,49.9302984
COL,Colombia,2009,41.9935632,39.1755145,48.9970118
COL,Colombia,2010,40.2418143,43.1639794,50.7518616
COL,Colombia,2011,43.6714103,45.9787128,50.2483332
COL,Colombia,2012,39.5560695,43.151392,49.2600929
COL,Colombia,2013,38.9235722,43.7037921,48.6401238
COL,Colombia,2014,40.3387065,48.8925418,49.8831049
COL,Colombia,2015,41.4314416,49.5727208,50.0884527
COL,Colombia,2016,40.3758051,50.9727937,50.9612969
COL,Colombia,2017,39.5383299,52.5716247,50.6762137
COL,Colombia,2018,41.405998,54.5255309,49.701606
COL,Colombia,2019,42.3435637,50.4304751,49.1724423
COL,Colombia,2020,42.6636046,54.2459136,48.6606218
COL,Colombia,2021,42.3947687,48.5602739,48.2391764
COL,Colombia,2022,42.6648919,52.0722697,47.8491027
COL,Colombia,2023,41.6000941,52.2402416,47.2427231
COL,Colombia,2024,41.90949,49.3103253,47.3311328
CRI,Costa Rica,2000,68.5921845,77.3356885,65.3048916
CRI,Costa Rica,2002,57.143028,81.7856914,67.3024742
CRI,Costa Rica,2003,57.622973,76.1467767,66.5482031
CRI,Costa Rica,2004,55.5280511,77.7265223,66.4836079
CRI,Costa Rica,2005,55.6495671,80.0237175,67.6124235
CRI,Costa Rica,2006,55.9348432,80.6908838,66.2066705
CRI,Costa Rica,2007,57.0957135,79.7853711,66.0464956
CRI,Costa Rica,2008,57.7269153,75.7933293,66.4427462
CRI,Costa Rica,2009,60.3773986,78.1993684,67.7552551
CRI,Costa Rica,2010,62.0102548,79.4541674,68.1503268
CRI,Costa Rica,2011,61.1718727,76.6845977,64.9264179
CRI,Costa Rica,2012,61.4268371,77.0920998,64.6597621
CRI,Costa Rica,2013,61.2814766,77.153462,64.8418686
CRI,Costa Rica,2014,63.6632595,77.5166561,66.3685302
CRI,Costa Rica,2015,63.4401897,78.6355453,65.935817
CRI,Costa Rica,2016,64.1176151,78.4171178,65.8170374
CRI,Costa Rica,2017,59.7032522,78.5448694,66.277594
CRI,Costa Rica,2018,61.0056411,76.735494,65.8900262
CRI,Costa Rica,2019,62.5292538,76.5896171,66.9617832
CRI,Costa Rica,2020,63.1650182,81.6952443,67.8366858
CRI,Costa Rica,2021,59.8166838,83.2688714,67.4710513
